address,bing_type,bing_confidence,bing_latitude,bing_longitude,mapquest_type,mapquest_class,mapquest_latitude,mapquest_longitude
"2125 WILLIAMSBRIDGE RD, New York, NY, 10461",Address,High,40.85600662231445,-73.85604858398438,house,place,40.85603105,-73.8559949622928
"6416 ROOSEVELT AVE., New York, NY, 11377",Address,High,40.745826721191406,-73.89952850341797,secondary,highway,40.746686,-73.8929591
"3496 BROADWAY, New York, NY, 10031",Address,High,40.82490764558315,-73.95137183368206,house,place,40.82484,-73.9512866
"873 FLATBUSH AVENUE, New York, NY, 11226",Address,High,40.650814056396484,-73.95840454101562,house,place,40.65083375,-73.9585008234287
"8610 37TH AVE, New York, NY, 11372",RoadBlock,Medium,40.750431060791016,-73.8778076171875,secondary,highway,40.7484818,-73.8962264
"309 EAST 5 STREET, New York, NY, 10003",Address,High,40.72674560546875,-73.9883041381836,,,,
"1155 WEBSTER AVE, New York, NY, 10456",Address,High,40.83059661090374,-73.9106310904026,house,place,40.8305844,-73.9107905
"3223 37 AVENUE, New York, NY, 11101",RoadBlock,Medium,40.75368881225586,-73.92877960205078,,,,
"4617 5TH AVE, New York, NY, 11220",Address,Medium,40.64681625366211,-74.00812530517578,house,place,40.6468608,-74.0082006
"4559 47 STREET, New York, NY, 11377",RoadBlock,Medium,40.73503112792969,-73.91937255859375,,,,
"4038 E TREMONT AVE, New York, NY, 10465",Address,High,40.819523110985756,-73.81758391857147,house,place,40.8195083243243,-73.817626027027
"1088 FULTON STREET, New York, NY, 11238",Address,High,40.68122100830078,-73.95740509033203,house,place,40.6813028,-73.95737485
"1592 1ST AVE, New York, NY, 10028",Address,High,40.774707,-73.950592,house,place,40.7747511,-73.9507086
"13655 ROOSEVELT AVE, New York, NY, 11354",RoadBlock,Medium,40.763458251953125,-73.8153076171875,secondary,highway,40.7592157,-73.8311384
"6604 18TH AVE, New York, NY, 11204",Address,High,40.618534088134766,-73.99115753173828,house,place,40.6185464,-73.9911838404532
"5786 MOSHOLU AVE, New York, NY, 10471",Address,High,40.90543828904629,-73.89790199697018,house,place,40.9053327,-73.8978068
"98-95 QUEENS BLVD, New York, NY, 11374",Address,High,40.72762459516525,-73.85482169687748,,,,
"1755 RICHMOND ROAD, New York, NY, 10306",Address,High,40.5875244140625,-74.10380554199219,house,place,40.58752365,-74.1037633556148
"2351 86TH STREET, New York, NY, 11214",Address,High,40.600040435791016,-73.9901351928711,house,place,40.60002865,-73.9901408897644
"243 DEGRAW STREET, New York, NY, 11231",Address,High,40.68422108888626,-73.99676822125912,house,place,40.6842859,-73.9968107
"11040 FLATLANDS AVENUE, New York, NY, 11207",Address,High,40.65010204911232,-73.8910087198019,house,place,40.650102345776,-73.8910228998035
"119 SAINT MARKS PLACE, New York, NY, 10009",Address,High,40.72706604003906,-73.98350524902344,house,place,40.7270978,-73.9834780183922
"1694 RICHMOND ROAD, New York, NY, 10304",Address,High,40.58902747929096,-74.10173781216145,house,place,40.5888184,-74.1018044
"901 SHERIDAN AVENUE, New York, NY, 10451",Address,High,40.82694625854492,-73.92113494873047,house,place,40.82696365,-73.9211648127522
